Character Name,Dialogue
Yesod,元素起源……有效核电荷……
Yesod,……啊，这样对吗？
Tiphereth,没错。按顺序排列。
Hod,这边这边……Malkuth。能帮忙把那里的书拿过来吗？
Malkuth,了解！有好多看不懂的书啊~
Netzach,……为什么我们也要来这边帮忙啊。
Tiphereth,能怎么办嘛！突然收到那么多要整理的书，但只剩下那么高的地方可以放……
Tiphereth,再怎么说，一个人把书搬到那么高的地方……太难了。
Tiphereth,本来是Chesed和Gebura帮忙的，但他俩今天看起来都很忙。
Tiphereth,罗兰也不知道躲到哪里去了！连个人影都见不着！
Yesod,啊，罗兰的话，我刚刚看到他去楼上了。
Tiphereth,看来上层有事要办啊……
Netzach,难道我们看起来就那么闲得发慌吗……
Tiphereth,……
Malkuth,Netzach有点眼力价嘛！这不是Tiphereth第一次喊我们来帮忙吗？
Malkuth,以前因为都不怎么来上边，想见上一面都很难。我反而很开心噢？
Hod,Malkuth在最上层的部门，所以更难见面了。
Malkuth,没错。大家都在各忙各的工作啦。
Yesod,话说回来，那两位是在忙什么呢？
Tiphereth,Chesed的话，因为其他层的司书也去喝咖啡，就没见他闲下来过……
Tiphereth,Gebura从刚刚起就一直在闭着眼睡觉，还是冥想什么的，反正一动也不动。
Hod,Gebura到这里后经常在冥想。需要思考的事情变多了吗？
Tiphereth,嗯嗯。每次为了找人搭把手而去打扰个人时间，那多不好意思呀……
Tiphereth,也没有在无视你们！没什么……不来帮忙也可以。
Malkuth,别担心嘛。Netzach虽然嘴上在抱怨，但还是会好好帮忙的。
Yesod,正如罗兰所说，尽是些难以阅读的书啊。有些书即使是我也很难理解。
Tiphereth,哈？你也像那臭小子一样当我小孩子吗？
Yesod,我绝无轻视之意。只是……
Tiphereth,你在担心我不能理解这些东西？因为我不像你们，没有好好地学习过。
Yesod,……对，确实如此。我并非在同情你……不会觉得受伤吗。
Tiphereth,还挺不甘心的。你这解释得好像人家是个笨蛋似的。
Tiphereth,Yesod你肯定不是那种人，所以人家就宽宏大量地原谅你啦。
Malkuth,但是Tiphereth以前不是特别讨厌我们吗？
Netzach,“上层病”之类的……
Tiphereth,……那件事真的非常抱歉！那时我的想法还很幼稚……我总觉得自己才是正确的。
Tiphereth,现在不一样了。虽然我的工作确实做得不错，但你们也干得很棒。
Tiphereth,才不是说现在就要和你们打好关系，不要误会噢！
Tiphereth,不要为和我的关系感到负担。这样就好。
Hod,想法改变了许多呢。
Tiphereth,哼，直说人家变得更成熟了就好啦。
Tiphereth,反正……Yesod那句话我并不觉得生气。
Tiphereth,倒是觉得自己的努力被认可了，非常高兴哦？
Tiphereth,全部读完并理解这里的书之后，再加上标题分类的也是我。
Hod,真的非常积极呢。
Tiphereth,不。换做别人来说的话肯定会生气的。
Tiphereth,……这是最后一本书了，就拜托你啦。然后……
Tiphereth,非常感谢各位的帮助。
