Character Name,Dialogue
Chesed,不论如何咖啡才是最好的~
Binah,真是遗憾。你的舌头或许已经被那些刺激性的浓郁香气弄得麻木了。
Angela,我已经搞不懂这里究竟是图书馆还是咖啡厅了。
Hod,啊，是安吉拉。你来这里是有什么事吗？
Angela,……不过只是因为有闲暇时间所以在这馆内四处走走而已。
Angela,那你们又在做什么呢？在讨论读书相关的事吗？
Binah,虽然那也很有趣……但现在是各位指定司书们在彼此进行友好的聊天呢。
Chesed,我们半推半就地被这儿的助理司书们拉了过来~
Binah,这种说法可真是令人心痛。
Angela,助理司书们？
Chesed,是呀~助理司书们偶尔也会来喝咖啡嘛。但大多数人对喝东西并没有什么兴趣啦。
Chesed,本来我正在与Hod和Gebura一起品味咖啡呢~但那几位助理司书突然出现说要回礼我们，就把我们带到这儿来了。
Gebura,你从一开始就应该注意到那些司书们的穿着是黑色的……
Angela,看来你和助理司书们的关系非常好啊。
Gebura,虽然立场上不过只是一同工作的同事而已，但也不必冷脸相待。
Chesed,是呀~还有就是安吉拉你，现在有时间吗？
Angela,或许有。怎么了？
Chesed,若是有时间的话喝杯茶再走吧。
Chesed,既来之则安之，喝一杯吧~比较抱歉的是这咖啡只有我一个人的份了。
Hod,毕竟能像这样一起说说话的机会也不多嘛。
Angela,……你若是邀请我加入进来的话，好的。
Angela,其他的助理司书们也在一同共饮呢。
Binah,不必过度苛责自己。有时也需要这样的时光吧。
Binah,大家工作时都像是在被追赶着般匆忙。
Chesed,嘛，虽然大家像这样聚在一起也不代表彼此间的关系就有多好~
Hod,但，我觉得能够像这样面对面地齐聚一座本身也是一件很了不起的事情啦。
Angela,……虽然你们以茶招待我，但我并不能感受到任何味道与香气，真是抱歉。
Hod,能够享受当下的这种氛围就足够了吧？
Chesed,若是可以的话下次也来一起享受吧~
Angela,……总之谢谢你告诉了我各种各样的事情。容我先行告退了。
Chesed,偶尔也来我那层转一转吧~罗兰有时也会来喝咖啡的，若是觉得有负担和他一起来也没什么问题啦~
Angela,若是能够再有闲暇时间的话，我会来的。
Hod,安吉拉会再来吗？
Chesed,我觉得她会的~
