Character Name,Dialogue
Binah,对于恢复记忆的你们来说，我是何种存在呢？
Gebura,哈？现在怎样都无所谓吧。
Binah,比想象中还要坦然呢。
Gebura,虽然有点别扭，但你我的立场没有区别。
Hod,……
Gebura,Hod，堂堂正正直起身板。干嘛那么畏畏缩缩的……
Gebura,那家伙已经不是以前的那个人了。虽然说不准以后怎样，但短期内她是不会危害到我们的。
Hod,啊……嗯。对……！对不起，Gebura。
Binah,真有趣啊。那副可怜的模样，真想再开一开玩笑……
Binah,正如Gebura所说，我早已不再是那般存在。
Binah,状若终末，然则复生……倒也并非成为截然不同的另一个存在。
Binah,然而如今已成为无法伤害你们的存在，你的眼中依旧残存着恐惧。
Binah,孩子呀，有何畏惧？如今我们患难与共。
Hod,只是……第一次这样面对面交流，有一点紧张。
Binah,毋需多虑。叫你们前来不过是……想一同品茶罢了。
Binah,趁茶凉之前饮用，如何。茶香温润时品味更佳。
Hod,……
Hod,红茶的色泽好清澈啊……稍微有一点点甜味。
Binah,加入了些许柠檬和蜂蜜。这是特意准备的。
Hod,完全没有尝出蜂蜜的味道，还以为是放了糖。
Binah,没有蜂蜜的味道，是因为它与茶香相遇后全然消散。
Binah,放入更多的砂糖反而越发苦涩。虽说也是个人品味。
Gebura,……甜甜的也不错呢。
Binah,你知道吗？根据地域的区分，红茶也有着不同的称呼。
Hod,啊……听说过。有因为茶叶的颜色称其为黑茶的，也有因为茶的颜色称其为红茶的。
Gebura,就是重视本质还是重视结果的区别吧。
Binah,或许也可以那样认为呢。
Binah,那么你们想要如何称呼这杯茶的名字呢。
Hod,……好难呀。
Gebura,那有什么要紧的？怎么顺口怎么来就是。
Binah,你说是，那便是。
Binah,与你们相谈甚是愉快。若是再想一品茶香，那便下次再来赏玩吧。
